task_id,majority_vote_mass,distinct_candidate_grids
5207a7b5#0,0.6923076923076923,60
5289ad53#0,0.1848151848151848,283
52fd389e#0,0.4595404595404595,73
54db823b#0,0.8506944444444444,17
55059096#0,0.59375,40
551d5bf1#0,0.8333333333333334,28
55783887#0,0.2177822177822178,243
575b1a71#0,0.03996003996003996,428
5783df64#0,0.7932067932067932,60
5833af48#0,0.002997002997002997,995
58743b76#0,0.03596403596403597,700
58e15b12#0,0.001998001998001998,1000
59341089#0,1.0,1
5a5a2103#0,0.5264735264735265,142
5af49b42#0,0.011988011988011988,843
5b526a93#0,0.10590277777777778,404
5b692c0f#0,0.004995004995004995,988
5b6cbef5#0,1.0,1
5d2a5c43#0,0.996003996003996,5
5d2a5c43#1,0.9920079920079921,8
5ffb2104#0,0.017982017982017984,851
604001fa#0,0.03496503496503497,330
60a26a3e#0,0.5572916666666666,90
60c09cac#0,0.9080919080919081,48
626c0bcc#0,0.04395604395604396,483
62ab2642#0,0.26373626373626374,300
62b74c02#0,0.8361638361638362,22
639f5a19#0,0.000999000999000999,1001
642248e4#0,0.04995004995004995,493
642d658d#0,0.5344655344655345,9
64a7c07e#0,0.05555555555555555,60
66e6c45b#0,0.996003996003996,4
66f2d22f#0,0.996003996003996,5
67636eac#0,0.0959040959040959,552
67b4a34d#0,0.002997002997002997,972
67c52801#0,0.7812187812187812,67
68b67ca3#0,0.6333666333666333,62
692cd3b6#0,0.9010989010989011,60
695367ec#0,0.23176823176823177,162
696d4842#0,0.18681318681318682,144
69889d6e#0,0.7777777777777778,35
6a11f6da#0,0.996003996003996,5
6ad5bdfd#0,0.011988011988011988,905
6df30ad6#0,0.7702297702297702,6
6ea4a07e#0,0.46653346653346656,25
6ea4a07e#1,0.5004995004995005,14
6f473927#0,0.026041666666666668,414
7039b2d7#0,0.34165834165834164,14
705a3229#0,0.6663336663336663,130
712bf12e#0,0.1875,196
72207abc#0,0.36563436563436563,135
72a961c9#0,0.2037962037962038,320
73182012#0,0.016983016983016984,721
73c3b0d8#0,0.2204861111111111,160
73ccf9c2#0,0.017982017982017984,633
759f3fd3#0,1.0,1
762cd429#0,0.6403596403596403,86
770cc55f#0,0.9400599400599401,29
